Infinitive,примири́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,примири́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,примири́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,примирю́сь
2nd Sing,примири́шься
3rd Sing,примири́тся
1st Pl,примири́мся
2nd Pl,примири́тесь
3rd Pl,примиря́тся
Past M,примири́лся
Past F,примири́лась
Past N,примири́лось
Past PL,примири́лись
Imp S,примири́сь
Imp PL,примири́тесь
