Infinitive,предположи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предположи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предполо́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предположи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предположи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предположу́
2nd Sing,предполо́жишь
3rd Sing,предполо́жит
1st Pl,предполо́жим
2nd Pl,предполо́жите
3rd Pl,предполо́жат
Past M,предположи́л
Past F,предположи́ла
Past N,предположи́ло
Past PL,предположи́ли
Imp S,предположи́
Imp PL,предположи́те
