Infinitive,противопоставля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,противопоставля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,противопоставля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,противопоставля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,противопоставля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,противопоставля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,противопоставля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,противопоставля́ю
2nd Sing,противопоставля́ешь
3rd Sing,противопоставля́ет
1st Pl,противопоставля́ем
2nd Pl,противопоставля́ете
3rd Pl,противопоставля́ют
Past M,противопоставля́л
Past F,противопоставля́ла
Past N,противопоставля́ло
Past PL,противопоставля́ли
Imp S,противопоставля́й
Imp PL,противопоставля́йте
