Infinitive,претендова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,претенду́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,претендова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,претенду́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,претендова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,претендова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,претенду́ю
2nd Sing,претенду́ешь
3rd Sing,претенду́ет
1st Pl,претенду́ем
2nd Pl,претенду́ете
3rd Pl,претенду́ют
Past M,претендова́л
Past F,претендова́ла
Past N,претендова́ло
Past PL,претендова́ли
Imp S,претенду́й
Imp PL,претенду́йте
