Infinitive,пригото́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пригото́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригото́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пригото́влюсь
2nd Sing,пригото́вишься
3rd Sing,пригото́вится
1st Pl,пригото́вимся
2nd Pl,пригото́витесь
3rd Pl,пригото́вятся
Past M,пригото́вился
Past F,пригото́вилась
Past N,пригото́вилось
Past PL,пригото́вились
Imp S,пригото́вься
Imp PL,пригото́вьтесь
