Infinitive,противостоя́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,противостоя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,противостоя́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,противостоя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,противостоя́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,противостоя́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,противостою́
2nd Sing,противостои́шь
3rd Sing,противостои́т
1st Pl,противостои́м
2nd Pl,противостои́те
3rd Pl,противостоя́т
Past M,противостоя́л
Past F,противостоя́ла
Past N,противостоя́ло
Past PL,противостоя́ли
Imp S,противосто́й
Imp PL,противосто́йте
