Infinitive,примелька́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,примелька́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,примелька́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,примелька́юсь
2nd Sing,примелька́ешься
3rd Sing,примелька́ется
1st Pl,примелька́емся
2nd Pl,примелька́етесь
3rd Pl,примелька́ются
Past M,примелька́лся
Past F,примелька́лась
Past N,примелька́лось
Past PL,примелька́лись
Imp S,примелька́йся
Imp PL,примелька́йтесь
