Infinitive,преда́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,преда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,преда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,преда́мся
2nd Sing,преда́шься
3rd Sing,преда́стся
1st Pl,предади́мся
2nd Pl,предади́тесь
3rd Pl,предаду́тся
Past M,преда́лся
Past F,предала́сь
Past N,предало́сь
Past PL,предали́сь
Imp S,преда́йся
Imp PL,преда́йтесь
