Infinitive,примо́лкнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,примо́лкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,примо́лкнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,примо́лкнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,примо́лкши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,примо́лкну
2nd Sing,примо́лкнешь
3rd Sing,примо́лкнет
1st Pl,примо́лкнем
2nd Pl,примо́лкнете
3rd Pl,примо́лкнут
Past M,примо́лк
Past F,примо́лкла
Past N,примо́лкло
Past PL,примо́лкли
Imp S,примо́лкни
Imp PL,примо́лкните
