Infinitive,проруби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проруби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прору́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проруби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проруби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прорублю́
2nd Sing,прору́бишь
3rd Sing,прору́бит
1st Pl,прору́бим
2nd Pl,прору́бите
3rd Pl,прору́бят
Past M,проруби́л
Past F,проруби́ла
Past N,проруби́ло
Past PL,проруби́ли
Imp S,проруби́
Imp PL,проруби́те
