Infinitive,протя́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,протя́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,протя́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,протя́гиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,протя́гивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,протя́гивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,протя́гивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,протя́гиваю
2nd Sing,протя́гиваешь
3rd Sing,протя́гивает
1st Pl,протя́гиваем
2nd Pl,протя́гиваете
3rd Pl,протя́гивают
Past M,протя́гивал
Past F,протя́гивала
Past N,протя́гивало
Past PL,протя́гивали
Imp S,протя́гивай
Imp PL,протя́гивайте
