Infinitive,приню́хиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приню́хивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приню́хивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приню́хиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приню́хивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приню́хиваюсь
2nd Sing,приню́хиваешься
3rd Sing,приню́хивается
1st Pl,приню́хиваемся
2nd Pl,приню́хиваетесь
3rd Pl,приню́хиваются
Past M,приню́хивался
Past F,приню́хивалась
Past N,приню́хивалось
Past PL,приню́хивались
Imp S,приню́хивайся
Imp PL,приню́хивайтесь
