Infinitive,просла́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,просла́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просла́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,просла́влюсь
2nd Sing,просла́вишься
3rd Sing,просла́вится
1st Pl,просла́вимся
2nd Pl,просла́витесь
3rd Pl,просла́вятся
Past M,просла́вился
Past F,просла́вилась
Past N,просла́вилось
Past PL,просла́вились
Imp S,просла́вься
Imp PL,просла́вьтесь
