Infinitive,протяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,протяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,протя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,протяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,протяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,протяну́
2nd Sing,протя́нешь
3rd Sing,протя́нет
1st Pl,протя́нем
2nd Pl,протя́нете
3rd Pl,протя́нут
Past M,протяну́л
Past F,протяну́ла
Past N,протяну́ло
Past PL,протяну́ли
Imp S,протяни́
Imp PL,протяни́те
