Infinitive,превзойти́
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,превзоше́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,превзойдённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,превзойдя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,превзоше́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,превзойду́
2nd Sing,превзойдёшь
3rd Sing,превзойдёт
1st Pl,превзойдём
2nd Pl,превзойдёте
3rd Pl,превзойду́т
Past M,превзошёл
Past F,превзошла́
Past N,превзошло́
Past PL,превзошли́
Imp S,превзойди́
Imp PL,превзойди́те
