Infinitive,приюти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приюти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приюти́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,приюти́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,приючу́
2nd Sing,приюти́шь
3rd Sing,приюти́т
1st Pl,приюти́м
2nd Pl,приюти́те
3rd Pl,приютя́т
Past M,приюти́л
Past F,приюти́ла
Past N,приюти́ло
Past PL,приюти́ли
Imp S,приюти́
Imp PL,приюти́те
