Infinitive,прослы́шать
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прослы́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прослы́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прослы́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прослы́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прослы́шу
2nd Sing,прослы́шишь
3rd Sing,прослы́шит
1st Pl,прослы́шим
2nd Pl,прослы́шите
3rd Pl,прослы́шат
Past M,прослы́шал
Past F,прослы́шала
Past N,прослы́шало
Past PL,прослы́шали
Imp S,—
Imp PL,—
