Infinitive,приви́ть
Zaliznyak Class,11b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приви́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,привью́
2nd Sing,привьёшь
3rd Sing,привьёт
1st Pl,привьём
2nd Pl,привьёте
3rd Pl,привью́т
Past M,приви́л
Past F,привила́
Past N,приви́ло
Past PL,приви́ли
Imp S,приве́й
Imp PL,приве́йте
