Infinitive,провезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,провёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,провезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,провезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,провёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,провезу́
2nd Sing,провезёшь
3rd Sing,провезёт
1st Pl,провезём
2nd Pl,провезёте
3rd Pl,провезу́т
Past M,провёз
Past F,провезла́
Past N,провезло́
Past PL,провезли́
Imp S,провези́
Imp PL,провези́те
