Infinitive,прочита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прочита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прочи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прочита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прочита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прочита́ю
2nd Sing,прочита́ешь
3rd Sing,прочита́ет
1st Pl,прочита́ем
2nd Pl,прочита́ете
3rd Pl,прочита́ют
Past M,прочита́л
Past F,прочита́ла
Past N,прочита́ло
Past PL,прочита́ли
Imp S,прочита́й
Imp PL,прочита́йте
