Infinitive,пригля́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пригля́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригля́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пригля́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пригля́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пригля́дываюсь
2nd Sing,пригля́дываешься
3rd Sing,пригля́дывается
1st Pl,пригля́дываемся
2nd Pl,пригля́дываетесь
3rd Pl,пригля́дываются
Past M,пригля́дывался
Past F,пригля́дывалась
Past N,пригля́дывалось
Past PL,пригля́дывались
Imp S,пригля́дывайся
Imp PL,пригля́дывайтесь
