Infinitive,прожда́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прожда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́жданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прожда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прожда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прожду́
2nd Sing,прождёшь
3rd Sing,прождёт
1st Pl,прождём
2nd Pl,прождёте
3rd Pl,прожду́т
Past M,прожда́л
Past F,прождала́
Past N,прожда́ло
Past PL,прожда́ли
Imp S,прожди́
Imp PL,прожди́те
