Infinitive,приглуши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приглуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приглушённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приглуши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приглуши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приглушу́
2nd Sing,приглуши́шь
3rd Sing,приглуши́т
1st Pl,приглуши́м
2nd Pl,приглуши́те
3rd Pl,приглуша́т
Past M,приглуши́л
Past F,приглуши́ла
Past N,приглуши́ло
Past PL,приглуши́ли
Imp S,приглуши́
Imp PL,приглуши́те
