Infinitive,прокра́сться
Zaliznyak Class,7b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прокра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прокра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прокраду́сь
2nd Sing,прокрадёшься
3rd Sing,прокрадётся
1st Pl,прокрадёмся
2nd Pl,прокрадётесь
3rd Pl,прокраду́тся
Past M,прокра́лся
Past F,прокра́лась
Past N,прокра́лось
Past PL,прокра́лись
Imp S,прокради́сь
Imp PL,прокради́тесь
