Infinitive,прихра́мывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прихра́мывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прихра́мывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прихра́мывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прихра́мывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прихра́мывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прихра́мываю
2nd Sing,прихра́мываешь
3rd Sing,прихра́мывает
1st Pl,прихра́мываем
2nd Pl,прихра́мываете
3rd Pl,прихра́мывают
Past M,прихра́мывал
Past F,прихра́мывала
Past N,прихра́мывало
Past PL,прихра́мывали
Imp S,прихра́мывай
Imp PL,прихра́мывайте
