Infinitive,пропе́ть
Zaliznyak Class,12b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пропе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пропе́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пропе́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пропе́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пропою́
2nd Sing,пропоёшь
3rd Sing,пропоёт
1st Pl,пропоём
2nd Pl,пропоёте
3rd Pl,пропою́т
Past M,пропе́л
Past F,пропе́ла
Past N,пропе́ло
Past PL,пропе́ли
Imp S,пропо́й
Imp PL,пропо́йте
