Infinitive,проговори́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проговори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проговори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проговорю́сь
2nd Sing,проговори́шься
3rd Sing,проговори́тся
1st Pl,проговори́мся
2nd Pl,проговори́тесь
3rd Pl,проговоря́тся
Past M,проговори́лся
Past F,проговори́лась
Past N,проговори́лось
Past PL,проговори́лись
Imp S,проговори́сь
Imp PL,проговори́тесь
