Infinitive,придвига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,придвига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,придвига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,придвига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,придвига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,придвига́юсь
2nd Sing,придвига́ешься
3rd Sing,придвига́ется
1st Pl,придвига́емся
2nd Pl,придвига́етесь
3rd Pl,придвига́ются
Past M,придвига́лся
Past F,придвига́лась
Past N,придвига́лось
Past PL,придвига́лись
Imp S,придвига́йся
Imp PL,придвига́йтесь
