Infinitive,прове́дать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прове́давший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прове́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прове́дав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прове́давши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прове́даю
2nd Sing,прове́даешь
3rd Sing,прове́дает
1st Pl,прове́даем
2nd Pl,прове́даете
3rd Pl,прове́дают
Past M,прове́дал
Past F,прове́дала
Past N,прове́дало
Past PL,прове́дали
Imp S,прове́дай
Imp PL,прове́дайте
