Infinitive,приби́ться
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прибью́сь
2nd Sing,прибьёшься
3rd Sing,прибьётся
1st Pl,прибьёмся
2nd Pl,прибьётесь
3rd Pl,прибью́тся
Past M,приби́лся
Past F,приби́лась
Past N,приби́лось
Past PL,приби́лись
Imp S,прибе́йся
Imp PL,прибе́йтесь
