Infinitive,приобщи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приобщи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приобщи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приобщу́сь
2nd Sing,приобщи́шься
3rd Sing,приобщи́тся
1st Pl,приобщи́мся
2nd Pl,приобщи́тесь
3rd Pl,приобща́тся
Past M,приобщи́лся
Past F,приобщи́лась
Past N,приобщи́лось
Past PL,приобщи́лись
Imp S,приобщи́сь
Imp PL,приобщи́тесь
