Infinitive,прорва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прорва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,про́рванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прорва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прорва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прорву́
2nd Sing,прорвёшь
3rd Sing,прорвёт
1st Pl,прорвём
2nd Pl,прорвёте
3rd Pl,прорву́т
Past M,прорва́л
Past F,прорвала́
Past N,прорва́ло
Past PL,прорва́ли
Imp S,прорви́
Imp PL,прорви́те
