Infinitive,прихвати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прихвати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прихва́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прихвати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прихвати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прихвачу́
2nd Sing,прихва́тишь
3rd Sing,прихва́тит
1st Pl,прихва́тим
2nd Pl,прихва́тите
3rd Pl,прихва́тят
Past M,прихвати́л
Past F,прихвати́ла
Past N,прихвати́ло
Past PL,прихвати́ли
Imp S,прихвати́
Imp PL,прихвати́те
