Infinitive,прити́хнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прити́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,прити́хнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прити́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прити́хши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прити́хну
2nd Sing,прити́хнешь
3rd Sing,прити́хнет
1st Pl,прити́хнем
2nd Pl,прити́хнете
3rd Pl,прити́хнут
Past M,прити́х
Past F,прити́хла
Past N,прити́хло
Past PL,прити́хли
Imp S,прити́хни
Imp PL,прити́хните
