Infinitive,предви́деться
Zaliznyak Class,5a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,предви́дящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предви́девшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предви́дясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предви́девшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предви́жусь
2nd Sing,предви́дишься
3rd Sing,предви́дится
1st Pl,предви́димся
2nd Pl,предви́дитесь
3rd Pl,предви́дятся
Past M,предви́делся
Past F,предви́делась
Past N,предви́делось
Past PL,предви́делись
Imp S,—
Imp PL,—
