Infinitive,противоре́чить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,противоре́чащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,противоре́чивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,противоре́ча
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,противоре́чив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,противоре́чивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,противоре́чу
2nd Sing,противоре́чишь
3rd Sing,противоре́чит
1st Pl,противоре́чим
2nd Pl,противоре́чите
3rd Pl,противоре́чат
Past M,противоре́чил
Past F,противоре́чила
Past N,противоре́чило
Past PL,противоре́чили
Imp S,противоре́чь
Imp PL,противоре́чьте
