Infinitive,прокомменти́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прокомменти́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прокомменти́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прокомменти́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прокомменти́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прокомменти́рую
2nd Sing,прокомменти́руешь
3rd Sing,прокомменти́рует
1st Pl,прокомменти́руем
2nd Pl,прокомменти́руете
3rd Pl,прокомменти́руют
Past M,прокомменти́ровал
Past F,прокомменти́ровала
Past N,прокомменти́ровало
Past PL,прокомменти́ровали
Imp S,прокомменти́руй
Imp PL,прокомменти́руйте
