Infinitive,произнести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,произнёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,произнесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,произнеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,произнёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,произнесу́
2nd Sing,произнесёшь
3rd Sing,произнесёт
1st Pl,произнесём
2nd Pl,произнесёте
3rd Pl,произнесу́т
Past M,произнёс
Past F,произнесла́
Past N,произнесло́
Past PL,произнесли́
Imp S,произнеси́
Imp PL,произнеси́те
