Infinitive,прорва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прорва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прорва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прорву́сь
2nd Sing,прорвёшься
3rd Sing,прорвётся
1st Pl,прорвёмся
2nd Pl,прорвётесь
3rd Pl,прорву́тся
Past M,прорва́лся
Past F,прорвала́сь
Past N,прорвало́сь
Past PL,прорвали́сь
Imp S,прорви́сь
Imp PL,прорви́тесь
