Infinitive,присы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,присы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,присы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,присы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,присы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,присы́плю
2nd Sing,присы́плешь
3rd Sing,присы́плет
1st Pl,присы́плем
2nd Pl,присы́плете
3rd Pl,присы́плют
Past M,присы́пал
Past F,присы́пала
Past N,присы́пало
Past PL,присы́пали
Imp S,присы́пь
Imp PL,присы́пьте
