Infinitive,прогляде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прогляде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогляде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прогляде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прогляжу́
2nd Sing,прогляди́шь
3rd Sing,прогляди́т
1st Pl,прогляди́м
2nd Pl,прогляди́те
3rd Pl,проглядя́т
Past M,прогляде́л
Past F,прогляде́ла
Past N,прогляде́ло
Past PL,прогляде́ли
Imp S,прогляди́
Imp PL,прогляди́те
