Infinitive,пригна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пригна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,при́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пригна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пригна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пригоню́
2nd Sing,приго́нишь
3rd Sing,приго́нит
1st Pl,приго́ним
2nd Pl,приго́ните
3rd Pl,приго́нят
Past M,пригна́л
Past F,пригнала́
Past N,пригна́ло
Past PL,пригна́ли
Imp S,пригони́
Imp PL,пригони́те
