Infinitive,проскочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проскочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проско́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проскочи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,проскочи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проскочу́
2nd Sing,проско́чишь
3rd Sing,проско́чит
1st Pl,проско́чим
2nd Pl,проско́чите
3rd Pl,проско́чат
Past M,проскочи́л
Past F,проскочи́ла
Past N,проскочи́ло
Past PL,проскочи́ли
Imp S,проскочи́
Imp PL,проскочи́те
