Infinitive,прислони́ться
Zaliznyak Class,4b // 4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прислони́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прислони́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прислоню́сь
2nd Sing,прислони́шься
3rd Sing,прислони́тся
1st Pl,прислони́мся
2nd Pl,прислони́тесь
3rd Pl,прислоня́тся
Past M,прислони́лся
Past F,прислони́лась
Past N,прислони́лось
Past PL,прислони́лись
Imp S,прислони́сь
Imp PL,прислони́тесь
