Infinitive,притормози́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,притормози́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приторможённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,притормози́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,притормози́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приторможу́
2nd Sing,притормози́шь
3rd Sing,притормози́т
1st Pl,притормози́м
2nd Pl,притормози́те
3rd Pl,притормозя́т
Past M,притормози́л
Past F,притормози́ла
Past N,притормози́ло
Past PL,притормози́ли
Imp S,притормози́
Imp PL,притормози́те
