Infinitive,прока́зить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прока́зящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прока́зивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прока́зя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прока́зив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прока́зивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прока́жу
2nd Sing,прока́зишь
3rd Sing,прока́зит
1st Pl,прока́зим
2nd Pl,прока́зите
3rd Pl,прока́зят
Past M,прока́зил
Past F,прока́зила
Past N,прока́зило
Past PL,прока́зили
Imp S,прока́зь
Imp PL,прока́зьте
