Infinitive,процити́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,процити́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,процити́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,процити́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,процити́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,процити́рую
2nd Sing,процити́руешь
3rd Sing,процити́рует
1st Pl,процити́руем
2nd Pl,процити́руете
3rd Pl,процити́руют
Past M,процити́ровал
Past F,процити́ровала
Past N,процити́ровало
Past PL,процити́ровали
Imp S,процити́руй
Imp PL,процити́руйте
