Infinitive,приду́мать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приду́мавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приду́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приду́мав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приду́мавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приду́маю
2nd Sing,приду́маешь
3rd Sing,приду́мает
1st Pl,приду́маем
2nd Pl,приду́маете
3rd Pl,приду́мают
Past M,приду́мал
Past F,приду́мала
Past N,приду́мало
Past PL,приду́мали
Imp S,приду́май
Imp PL,приду́майте
