Infinitive,приже́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прижёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прижжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прижёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прижгу́
2nd Sing,прижжёшь
3rd Sing,прижжёт
1st Pl,прижжём
2nd Pl,прижжёте
3rd Pl,прижгу́т
Past M,прижёг
Past F,прижгла́
Past N,прижгло́
Past PL,прижгли́
Imp S,прижги́
Imp PL,прижги́те
