Infinitive,проника́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проника́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проника́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проника́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проника́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проника́юсь
2nd Sing,проника́ешься
3rd Sing,проника́ется
1st Pl,проника́емся
2nd Pl,проника́етесь
3rd Pl,проника́ются
Past M,проника́лся
Past F,проника́лась
Past N,проника́лось
Past PL,проника́лись
Imp S,проника́йся
Imp PL,проника́йтесь
