Infinitive,проса́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проса́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проса́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проса́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проса́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проса́чиваюсь
2nd Sing,проса́чиваешься
3rd Sing,проса́чивается
1st Pl,проса́чиваемся
2nd Pl,проса́чиваетесь
3rd Pl,проса́чиваются
Past M,проса́чивался
Past F,проса́чивалась
Past N,проса́чивалось
Past PL,проса́чивались
Imp S,проса́чивайся
Imp PL,проса́чивайтесь
