Infinitive,приземля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приземля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приземля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приземля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приземля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приземля́юсь
2nd Sing,приземля́ешься
3rd Sing,приземля́ется
1st Pl,приземля́емся
2nd Pl,приземля́етесь
3rd Pl,приземля́ются
Past M,приземля́лся
Past F,приземля́лась
Past N,приземля́лось
Past PL,приземля́лись
Imp S,приземля́йся
Imp PL,приземля́йтесь
