Infinitive,приводи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приводя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приводи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приводя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приводи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,привожу́сь
2nd Sing,приво́дишься
3rd Sing,приво́дится
1st Pl,приво́димся
2nd Pl,приво́дитесь
3rd Pl,приво́дятся
Past M,приводи́лся
Past F,приводи́лась
Past N,приводи́лось
Past PL,приводи́лись
Imp S,приводи́сь
Imp PL,приводи́тесь
