Infinitive,прижа́ться
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прижа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прижа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прижму́сь
2nd Sing,прижмёшься
3rd Sing,прижмётся
1st Pl,прижмёмся
2nd Pl,прижмётесь
3rd Pl,прижму́тся
Past M,прижа́лся
Past F,прижа́лась
Past N,прижа́лось
Past PL,прижа́лись
Imp S,прижми́сь
Imp PL,прижми́тесь
