Infinitive,преда́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,преда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пре́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,преда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,преда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,преда́м
2nd Sing,преда́шь
3rd Sing,преда́ст
1st Pl,предади́м
2nd Pl,предади́те
3rd Pl,предаду́т
Past M,пре́дал
Past F,предала́
Past N,пре́дало
Past PL,пре́дали
Imp S,преда́й
Imp PL,преда́йте
