Infinitive,продеклами́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,продеклами́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,продеклами́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,продеклами́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,продеклами́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,продеклами́рую
2nd Sing,продеклами́руешь
3rd Sing,продеклами́рует
1st Pl,продеклами́руем
2nd Pl,продеклами́руете
3rd Pl,продеклами́руют
Past M,продеклами́ровал
Past F,продеклами́ровала
Past N,продеклами́ровало
Past PL,продеклами́ровали
Imp S,продеклами́руй
Imp PL,продеклами́руйте
