Infinitive,приме́риться
Zaliznyak Class,4a // 1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приме́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приме́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приме́рюсь
2nd Sing,приме́ришься
3rd Sing,приме́рится
1st Pl,приме́римся
2nd Pl,приме́ритесь
3rd Pl,приме́рятся
Past M,приме́рился
Past F,приме́рилась
Past N,приме́рилось
Past PL,приме́рились
Imp S,приме́рься
Imp PL,приме́рьтесь
