Infinitive,проле́зть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,проле́зший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проле́зши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проле́зу
2nd Sing,проле́зешь
3rd Sing,проле́зет
1st Pl,проле́зем
2nd Pl,проле́зете
3rd Pl,проле́зут
Past M,проле́з
Past F,проле́зла
Past N,проле́зло
Past PL,проле́зли
Imp S,проле́зь
Imp PL,проле́зьте
