Infinitive,промахну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,промахну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,промахну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,промахну́сь
2nd Sing,промахнёшься
3rd Sing,промахнётся
1st Pl,промахнёмся
2nd Pl,промахнётесь
3rd Pl,промахну́тся
Past M,промахну́лся
Past F,промахну́лась
Past N,промахну́лось
Past PL,промахну́лись
Imp S,промахни́сь
Imp PL,промахни́тесь
