Infinitive,би́ться
Zaliznyak Class,11b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,бью́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,би́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,бья́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,би́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,бью́сь
2nd Sing,бьёшься
3rd Sing,бьётся
1st Pl,бьёмся
2nd Pl,бьётесь
3rd Pl,бью́тся
Past M,би́лся
Past F,би́лась
Past N,би́лось
Past PL,би́лись
Imp S,бе́йся
Imp PL,бе́йтесь
