Infinitive,ры́ть
Zaliznyak Class,12a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ро́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ры́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ро́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ры́тый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,ро́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,ры́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,ры́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,ро́ю
2nd Sing,ро́ешь
3rd Sing,ро́ет
1st Pl,ро́ем
2nd Pl,ро́ете
3rd Pl,ро́ют
Past M,ры́л
Past F,ры́ла
Past N,ры́ло
Past PL,ры́ли
Imp S,ро́й
Imp PL,ро́йте
