Infinitive,рыга́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,рыга́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рыга́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рыга́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рыга́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,рыга́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,рыга́ю
2nd Sing,рыга́ешь
3rd Sing,рыга́ет
1st Pl,рыга́ем
2nd Pl,рыга́ете
3rd Pl,рыга́ют
Past M,рыга́л
Past F,рыга́ла
Past N,рыга́ло
Past PL,рыга́ли
Imp S,рыга́й
Imp PL,рыга́йте
