Infinitive,ры́ться
Zaliznyak Class,12a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ро́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ры́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ро́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ры́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ро́юсь
2nd Sing,ро́ешься
3rd Sing,ро́ется
1st Pl,ро́емся
2nd Pl,ро́етесь
3rd Pl,ро́ются
Past M,ры́лся
Past F,ры́лась
Past N,ры́лось
Past PL,ры́лись
Imp S,ро́йся
Imp PL,ро́йтесь
