Infinitive,рыба́чить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,рыба́чащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рыба́чивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рыба́ча
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рыба́чив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,рыба́чивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,рыба́чу
2nd Sing,рыба́чишь
3rd Sing,рыба́чит
1st Pl,рыба́чим
2nd Pl,рыба́чите
3rd Pl,рыба́чат
Past M,рыба́чил
Past F,рыба́чила
Past N,рыба́чило
Past PL,рыба́чили
Imp S,рыба́чь
Imp PL,рыба́чьте
